# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {1:1.}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

## (semi)leptonic decays

# b -> c l nu
{313,211,-211}   | 0.0 | B_Kstar892pi+pi-.dat; # ^^ included
{323,-211,111}   | 0.0 | B_Kstar892+pi-pi.dat; # ^^ included
{311,-311,211,-211}      | 1.67e-06[EvtGen]       | B_KKbpi+pi-.dat;
{323,-311,-211}  | 0.0 | B_Kstar892+Kbpi-.dat; # ^^ included
{321,-321,211,-211}      | 1.67e-06[EvtGen]       | B_K+K-pi+pi-.dat;
{321,-313,-211}  | 0.0 | B_K+Kstar892bpi-.dat; # ^^ included
{321,-311,-211,111}      | 0.67e-06              | B_K+Kbpi-pi.dat;
{321,-313,-211}  | 0.0 | B_K+Kstar892bpi-.dat; # ^^ included
{323,-311,-211}  | 0.0 | B_Kstar892+Kbpi-.dat; # ^^ included
{321,321,-321,-211}      | 1e-05[EvtGen]       | B_K+K+K-pi-.dat;
{-213,211,211,-211}      | 7e-06[EvtGen]       | B_rho770-pi+pi+pi-.dat;
{20213,-213}     | 0.0 | B_a11260+rho770-.dat; # ^^ included
{-213,211,111,111}       | 1.7e-05[EvtGen]       | B_rho770-pi+pipi.dat;
{20213,-213}     | 0.0 | B_a11260+rho770-.dat; # ^^ included
{213,-213,111}   | 0.0 | B_rho770+rho770-pi.dat; # ^^ included
{311,-213,211,111}       | 2.0e-05[EvtGen]       | B_Krho770-pi+pi.dat;
{313,-213,211}   | 0.0 | B_Kstar892rho770-pi+.dat; # ^^ included
{323,-213,111}   | 0.0 | B_Kstar892+rho770-pi.dat; # ^^ included
{321,-213,211,-211}      | 1.67e-05[EvtGen]       | B_K+rho770-pi+pi-.dat;
{313,-213,211}   | 0.0 | B_Kstar892rho770-pi+.dat; # ^^ included
{321,-213,111,111}       | 1.33e-05[EvtGen]       | B_K+rho770-pipi.dat;
{323,-213,111}   | 0.0 | B_Kstar892+rho770-pi.dat; # ^^ included
{321,-311,-213,111}      | 1e-06[EvtGen]       | B_K+Kbrho770-pi.dat;
{311,-311,-213,211}      | 1e-06[EvtGen]       | B_KKbrho770-pi+.dat;
{321,-321,-213,211}      | 1e-06[EvtGen]       | B_K+K-rho770-pi+.dat;
{321,321,-321,-213}      | 1e-05[EvtGen]       | B_K+K+K-rho770-.dat;
{-10211,211,211,-211}    | 1.1e-05[EvtGen]       | B_a0980-pi+pi+pi-.dat;
{-10211,211,113}         | 0.0 | B_a0980-pi+rho770.dat; # ^^ included
{-10211,211,111,111}     | 1.1e-05[EvtGen]       | B_a0980-pi+pipi.dat;
{-10211,213,111}         | 0.0 | B_a0980-rho770+pi.dat; # ^^ included
{-10211,311,211,111}     | 3.33e-06                 | B_a0980-Kpi+pi.dat;
{-10211,323,111}         | 0.0 | B_a0980-Kstar892+pi.dat; # ^^ included
{-10211,321,111,111}     | 1.67e-06                 | B_a0980-K+pipi.dat;
{-10211,323,111}         | 0.0 | B_a0980-Kstar892+pi.dat; # ^^ included
{-20213,211,211,-211}    | 2.5e-5                | B_a11260-pi+pi+pi-.dat;
{20213,-20213}   | 0.0 | B_a11260+a11260-.dat; # ^^ included
{-20213,211,111,111}     | 2.5e-5                | B_a11260-pi+pipi.dat;
{20213,-20213}   | 0.0 | B_a11260+a11260-.dat; # ^^ included


## other two-body
{223,111}        | 1e-06[EvtGen]     | B_omega782pi.dat;
{20113,111}      | 1e-06[EvtGen]     | B_a11260pi.dat;
{10113,111}      | 1e-06[EvtGen]     | B_b11235pi.dat;
{221,113}        | 1e-06[EvtGen]     | B_etarho770.dat;
{223,221}        | 1e-06[EvtGen]     | B_omega782eta.dat;
{20113,221}      | 1e-06[EvtGen]     | B_a11260eta.dat;
{10113,221}      | 1e-06[EvtGen]     | B_b11235eta.dat;
{331,113}        | 1e-06[EvtGen]     | B_etaprime958rho770.dat;
{331,223}        | 1e-06[EvtGen]     | B_etaprime958omega782.dat;
{20113,331}      | 1e-06[EvtGen]     | B_a11260etaprime958.dat;
{10113,331}      | 1e-06[EvtGen]     | B_b11235etaprime958.dat;
{10111,113}      | 1e-06[EvtGen]     | B_a0980rho770.dat;
{10111,223}      | 1e-06[EvtGen]     | B_a0980omega782.dat;
{20113,10111}    | 1e-06[EvtGen]     | B_a11260a0980.dat;
{10113,10111}    | 1e-06[EvtGen]     | B_b11235a0980.dat;
{10221,113}      | 1e-06[EvtGen]     | B_f0980rho770.dat;
{10221,223}      | 1e-06[EvtGen]     | B_f0980omega782.dat;
{20113,10221}    | 1e-06[EvtGen]     | B_a11260f0980.dat;
{10221,10113}    | 1e-06[EvtGen]     | B_f0980b11235.dat;
{333,311}        | 8.4e-06[EvtGen]   | B_phi1020K.dat;
{311,223}        | 4.6e-06[EvtGen]   | B_Komega782.dat;
{333,111}        | 1e-06[EvtGen]     | B_phi1020pi.dat;
{333,221}        | 1e-06[EvtGen]     | B_phi1020eta.dat;
{333,331}        | 1e-06[EvtGen]     | B_phi1020etaprime958.dat;
{313,221}        | 1.9e-05[EvtGen]      | B_Kstar892eta.dat;
{331,313}        | 1e-06[EvtGen]        | B_etaprime958Kstar892.dat;
{313,223}        | 1e-06[EvtGen]         | B_Kstar892omega782.dat;
{333,223}        | 1e-06[EvtGen]         | B_phi1020omega782.dat;
{223,223}        | 1e-06[EvtGen]         | B_omega782omega782.dat;
{223,113}        | 1e-06[EvtGen]         | B_omega782rho770.dat;
{313,111}        | 1.7e-06[EvtGen]      | B_Kstar892pi.dat;
{313,-311}       | 3e-06[EvtGen]        | B_Kstar892Kb.dat;
{10311,111}      | 1e-06[EvtGen]       | B_K0star1430pi.dat;
{10311,-311}     | 3e-06[EvtGen]       | B_K0star1430Kb.dat;
{323,-321}       | 2e-06[EvtGen]        | B_Kstar892+K-.dat;
{113,111}        | 0[EvtGen]         | B_rho770pi.dat;
{311,113}        | 5.2e-06[EvtGen]   | B_Krho770.dat;
#{100113,311}     | 1e-06[EvtGen]     | B_rho1450K.dat;


## charmonium modes

# 1--(psi)
{443,311}        | 8.72e-4(0.33e-4)[PDG]   | B_Jpsi1SK.dat;
{443,111}        | 2.2e-05(0.4e-5)[PDG]   | B_Jpsi1Spi.dat;
{100443,311}     | 6.2e-4(0.6e-4)[PDG]   | B_psi2SK.dat;
{30443,311}      | 0.00048[EvtGen]   | B_psi3770K.dat;

{443,313}        | 1.33e-3(0.06e-3)[PDG]  | B_Jpsi1SKstar892.dat;
{100443,313}     | 7.2e-4(0.8e-4)[PDG]   | B_psi2SKstar892.dat;
{30443,313}      | 0.00048[EvtGen]       | B_psi3770Kstar892.dat;
{443,113}        | 1.6e-05[EvtGen]   | B_Jpsi1Srho770.dat;
{443,223}        | 3e-05[PDG<2.7e-4]     | B_Jpsi1Somega782.dat;
{10313,443}      | 1.3e-3(0.5e-3)[PDG]        | B_K11270Jpsi1S.dat;
{20313,443}      | 0.0001[EvtGen]        | B_K11400Jpsi1S.dat;
{100443,10313}   | 0.0004[EvtGen]      | B_psi2SK11270.dat;
